Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(675, 676]",0.794444444,0.687878788,0.836363636,0.78974359,0.772727273,0.808333333,0.821212121,0.75,0.718181818,0.890909091,0.646666667,0.733333333
"(676, 677]",0.736111111,0.742424242,0.675757576,0.692307692,0.727272727,0.744444444,0.878787879,0.666666667,0.721212121,0.86969697,0.9,0.842424242
"(677, 678]",0.672222222,0.651515152,0.957575758,0.748717949,0.739393939,0.644444444,0.890909091,0.683333333,0.733333333,0.812121212,0.866666667,0.848484848
"(678, 679]",0.680555556,0.827272727,0.948484848,0.802564103,0.63030303,0.791666667,0.860606061,0.813888889,0.709090909,0.906060606,0.816666667,0.9
"(679, 680]",0.575,0.672727273,0.912121212,0.766666667,0.881818182,0.7,0.751515152,0.772222222,0.73030303,0.918181818,0.783333333,0.863636364
"(680, 681]",0.614942529,0.636363636,0.840125392,0.75862069,0.764890282,0.712643678,0.811912226,0.772988506,0.692789969,0.87460815,0.775862069,0.896551724
"(681, 682]",0.725,0.651515152,0.942424242,0.7,0.715151515,0.661111111,0.857575758,0.852777778,0.636363636,0.912121212,0.853333333,0.712121212
"(682, 683]",0.680555556,0.715151515,0.733333333,0.687179487,0.648484848,0.825,0.836363636,0.747222222,0.9,0.878787879,0.886666667,0.73030303
"(683, 684]",0.747222222,0.878787879,0.772727273,0.741025641,0.66969697,0.877777778,0.851515152,0.894444444,0.739393939,0.824242424,0.656666667,0.827272727
"(684, 685]",0.741666667,0.881818182,0.915151515,0.694871795,0.739393939,0.85,0.751515152,0.675,0.624242424,0.887878788,0.683333333,0.784848485
"(685, 686]",0.822222222,0.693939394,0.842424242,0.543589744,0.709090909,0.713888889,0.812121212,0.827777778,0.660606061,0.757575758,0.656666667,0.715151515
"(686, 687]",0.701149425,0.680250784,0.871473354,0.676392573,0.75862069,0.778735632,0.793103448,0.775862069,0.667711599,0.78369906,0.648275862,0.78369906
"(687, 688]",0.697222222,0.733333333,0.736363636,0.571794872,0.818181818,0.677777778,0.951515152,0.719444444,0.760606061,0.848484848,0.756666667,0.809090909
