Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(1095, 1096]",0.089655172,0.012539185,0,0.119122257,0.021220159,0.053291536,0.084639498,0.040229885,0,0.178683386,0.006269592,0.013793103
"(1096, 1097]",0.076666667,0,0,0.127272727,0.069230769,0,0.048484848,0.055555556,0,0.263636364,0,0.01
"(1097, 1098]",0.036666667,0,0,0.139393939,0.117948718,0.03030303,0,0.05,0.009090909,0.254545455,0.009090909,0.013333333
"(1098, 1099]",0,0,0,0.16969697,0.1,0.142424242,0.015151515,0.058333333,0.006060606,0.2,0,0.003333333
"(1099, 1100]",0.036666667,0.009090909,0,0.16969697,0.153846154,0.045454545,0.048484848,0.058333333,0,0.090909091,0,0.026666667
"(1100, 1101]",0.063333333,0,0,0.015151515,0.151282051,0.033333333,0.048484848,0.075,0,0.118181818,0,0
"(1101, 1102]",0.065517241,0,0,0.059561129,0.159151194,0.018808777,0.015673981,0.063218391,0,0.056426332,0.028213166,0.027586207
"(1102, 1103]",0.03,0,0,0.051515152,0.102564103,0.003030303,0,0.047222222,0,0.072727273,0.051515152,0.03
"(1103, 1104]",0.026666667,0,0,0.021212121,0.141025641,0.036363636,0.027272727,0.083333333,0,0.121212121,0.057575758,0.02
"(1104, 1105]",0.063333333,0,0,0.154545455,0.179487179,0.06969697,0.090909091,0.047222222,0,0.166666667,0.039393939,0.036666667
"(1105, 1106]",0.1,0,0.02,0.109090909,0.107692308,0.139393939,0.087878788,0.072222222,0,0.175757576,0.045454545,0
"(1106, 1107]",0.1,0,0,0.075757576,0.151282051,0.13030303,0.087878788,0.075,0,0.236363636,0.018181818,0.01
"(1107, 1108]",0.1,0,0,0.10031348,0.114058355,0.150470219,0.084639498,0.025862069,0,0.184952978,0,0
"(1108, 1109]",0.083333333,0,0,0.090909091,0.08974359,0.103030303,0.018181818,0,0.018181818,0.272727273,0,0.01
"(1109, 1110]",0.116666667,0.006060606,0,0.1,0.033333333,0.096969697,0.027272727,0.047222222,0,0.260606061,0,0.013333333
